DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2013,19786,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2014,19998,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2015,25095,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2016,25931,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2017,30143,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2018,33857,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2019,33692,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2020,34183,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2011,1456,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2012,1527,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2013,1593,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2014,1629,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2015,1661,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2016,1794,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2017,1954,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2018,2090,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2019,1934,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2020,1832,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DK,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2011,17,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2012,17,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2013,23,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2014,25,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2015,18,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2016,29,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2017,52,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2018,52,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2019,86,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2020,82,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EE,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2011,59,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2012,62,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2013,90,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2014,402,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2015,637,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2016,830,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2017,1084,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2018,1075,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2019,1320,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2020,1469,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EL,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2011,9803,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2012,11047,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2013,10973,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2014,12045,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2015,13800,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2016,13482,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2017,14024,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2018,14485,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2019,14724,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2020,14200,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,ES,2021,13044,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2011,60125,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2012,69051,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2013,75276,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2014,77193,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2015,90914,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2016,93349,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2017,102852,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2018,109340,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2019,110845,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2020,109592,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU27_2020,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2011,83444,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2012,96031,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2013,103601,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2014,107352,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2015,125802,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2016,128060,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2017,138747,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2018,144865,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2019,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2020,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,EU28,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2011,1260,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2012,1392,
